id,time,x_pix,y_pix,w_pix,h_pix
,1685917516.93,144.285,131.575,35.422,24.972
,1685917516.93,204.702,167.043,35.348,32.591
,1685917516.93,195.382,123.125,26.327,20.188
,1685917516.93,158.802,51.839,14.564,9.876
6.0,1685917517.13,210.734,107.776,24.729,17.9
,1685917517.0,152.678,125.45,31.87,22.59
,1685917517.0,211.172,158.454,33.153,30.274
,1685917517.0,201.0,117.87,26.693,19.303
,1685917517.0,156.109,52.868,13.559,9.169
6.0,1685917517.33,222.29,94.902,19.953,16.089
14.0,1685917517.33,184.379,100.606,24.465,17.187
,1685917513.8,288.129,31.122,8.516,4.922
,1685917513.73,287.286,31.251,9.146,5.721
,1685917516.2,191.995,40.918,14.377,7.743
,1685917515.8,206.125,36.795,12.097,6.161
,1685917516.53,71.718,189.502,55.677,40.253
,1685917516.53,149.687,169.953,42.624,35.819
,1685917516.53,177.994,44.986,12.448,7.782
,1685917516.53,150.959,229.31,57.934,20.693
6.0,1685917516.73,174.977,143.979,34.582,26.763
,1685917516.27,97.439,218.785,61.487,40.906
,1685917516.27,189.073,42.198,12.035,6.541
6.0,1685917517.07,206.21,112.537,25.78,18.847
,1685917513.47,283.831,32.611,8.323,6.213
,1685917516.87,135.466,139.229,37.911,26.363
,1685917516.87,197.742,177.173,39.17,36.636
,1685917516.87,161.117,50.388,15.238,10.274
,1685917516.47,53.45,202.964,63.103,43.794
,1685917516.47,138.63,182.248,46.268,36.6
,1685917516.47,181.034,44.445,12.908,7.113
,1685917513.67,286.375,31.797,7.941,5.588
,1685917516.33,112.293,207.138,56.744,44.27
,1685917516.33,186.944,42.557,13.284,8.065
,1685917516.33,25.292,224.607,49.944,30.121
,1685917516.07,232.367,28.638,10.18,6.515
6.0,1685917516.67,165.971,153.545,38.127,29.953
,1685917516.4,126.988,193.693,51.006,39.294
,1685917516.4,34.866,216.625,69.622,44.836
,1685917516.4,183.998,43.334,13.124,7.653
6.0,1685917517.2,214.624,103.115,22.377,16.874
14.0,1685917517.2,172.872,109.996,28.009,18.471
6.0,1685917516.8,182.547,136.314,31.652,24.889
6.0,1685917517.27,218.614,98.746,21.034,16.081
14.0,1685917517.27,178.206,105.382,26.776,17.558
6.0,1685917516.6,156.69,162.124,41.446,32.345
6.0,1685917586.0,276.981,42.734,8.788,7.482
20.0,1685917586.0,280.817,58.34,9.947,9.451
