id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
1.0,0.07,1,103.179,75.451,13.363,12.073,300202.49,4767823.37
1.0,0.13,2,105.157,77.327,13.812,12.37,300200.98,4767824.45
1.0,0.2,3,106.704,79.685,14.006,13.261,300199.36,4767825.8
1.0,0.27,4,109.258,81.86,14.21,13.467,300197.73,4767826.91
1.0,0.33,5,111.587,84.714,15.397,14.151,300195.89,4767828.36
1.0,0.4,6,114.164,87.288,15.717,15.02,300194.24,4767829.56
1.0,0.47,7,116.653,90.492,16.674,15.412,300192.42,4767831.01
1.0,0.53,8,119.533,93.678,16.935,15.521,300190.66,4767832.34
1.0,0.6,9,122.66,97.235,18.054,16.184,300188.84,4767833.74
1.0,0.67,10,125.789,101.163,18.864,16.719,300187.01,4767835.2
1.0,0.73,11,129.306,104.702,19.54,17.692,300185.37,4767836.38
1.0,0.8,12,132.79,108.885,20.279,18.414,300183.65,4767837.73
1.0,0.87,13,136.756,113.111,21.759,19.141,300181.98,4767838.97
1.0,0.93,14,140.782,117.773,23.026,20.073,300180.3,4767840.26
1.0,1.0,15,145.371,122.761,24.125,21.101,300178.61,4767841.53
1.0,1.07,16,150.205,128.04,25.444,22.16,300176.95,4767842.77
1.0,1.13,17,155.696,133.84,26.839,23.356,300175.25,4767844.02
1.0,1.2,18,161.179,139.975,27.95,24.94,300173.64,4767845.25
1.0,1.27,19,167.533,146.941,29.84,26.499,300171.94,4767846.52
1.0,1.33,20,174.449,154.11,31.814,28.939,300170.32,4767847.7
1.0,1.4,21,181.714,162.184,33.854,31.02,300168.69,4767848.93
1.0,1.47,22,190.106,170.994,35.858,33.263,300167.05,4767850.13
1.0,1.53,23,199.002,180.774,37.788,35.971,300165.44,4767851.34
1.0,1.6,24,209.154,191.772,41.143,39.752,300163.8,4767852.57
1.0,1.67,25,219.966,203.594,44.395,43.041,300162.24,4767853.74
1.0,1.73,26,231.907,215.093,47.742,42.667,300160.79,4767854.71
2.0,0.07,1,223.758,213.721,44.778,45.675,300161.38,4767854.86
2.0,0.13,2,233.512,220.371,44.887,36.363,300160.41,4767855.27
3.0,0.27,4,199.297,140.645,36.022,33.181,300169.73,4767843.45
3.0,0.33,5,207.022,146.765,37.703,35.07,300168.22,4767844.51
3.0,0.4,6,216.067,154.601,39.822,37.148,300166.53,4767845.8
3.0,0.47,7,225.805,163.162,43.617,39.597,300164.87,4767847.07
3.0,0.53,8,236.225,172.11,46.929,42.094,300163.28,4767848.26
3.0,0.6,9,247.475,181.971,49.901,45.318,300161.73,4767849.46
3.0,0.67,10,259.826,192.606,53.229,48.675,300160.2,4767850.61
3.0,0.73,11,273.607,204.132,57.654,52.392,300158.69,4767851.71
