id,time,video_end_time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
5.0,1685917822.67,1685917819,55,295.466,81.279,12.614,9.556,-1350.9,-1139.33
7.0,1685917822.67,1685917819,55,147.582,87.618,22.082,16.125,-1349.28,-1113.66
11.0,1685917822.67,1685917819,55,194.299,68.165,14.091,10.289,-1331.62,-1125.71
1.0,1685917820.87,1685917819,28,292.893,60.111,12.62,6.835,-1326.82,-1150.73
2.0,1685917820.87,1685917819,28,312.434,60.147,9.747,8.516,-1328.27,-1154.94
3.0,1685917820.87,1685917819,28,302.304,71.924,11.691,10.247,-1342.48,-1144.99
4.0,1685917820.87,1685917819,28,284.16,104.904,17.884,15.273,-1365.69,-1130.3
5.0,1685917820.87,1685917819,28,254.172,154.935,28.487,23.988,-1381.97,-1119.74
1.0,1685917822.07,1685917819,46,308.039,47.357,7.286,6.721,-1303.33,-1167.19
2.0,1685917822.07,1685917819,46,319.132,50.275,8.716,6.445,-1311.09,-1166.4
4.0,1685917822.07,1685917819,46,300.096,75.386,11.984,9.4,-1345.85,-1142.79
5.0,1685917822.07,1685917819,46,286.753,95.874,15.842,11.692,-1360.83,-1132.98
7.0,1685917822.07,1685917819,46,184.243,72.362,17.06,12.667,-1336.23,-1122.57
2.0,1685917822.87,1685917819,58,322.944,45.491,7.668,5.458,-1300.15,-1173.89
5.0,1685917822.87,1685917819,58,297.531,77.226,12.143,9.425,-1347.46,-1141.46
7.0,1685917822.87,1685917819,58,131.978,94.868,24.753,17.403,-1354.09,-1110.7
11.0,1685917822.87,1685917819,58,184.342,71.917,15.608,10.997,-1335.71,-1122.69
1.0,1685917820.6,1685917819,24,291.533,62.463,10.474,7.229,-1330.2,-1148.73
2.0,1685917820.6,1685917819,24,310.438,62.397,10.655,9.267,-1331.39,-1152.74
3.0,1685917820.6,1685917819,24,299.718,76.89,11.796,9.475,-1347.26,-1142.0
4.0,1685917820.6,1685917819,24,278.556,115.667,20.478,18.101,-1370.41,-1127.35
5.0,1685917820.6,1685917819,24,239.281,181.453,33.708,30.777,-1386.97,-1116.58
1.0,1685917819.67,1685917819,10,275.406,80.465,12.712,10.751,-1349.25,-1136.35
2.0,1685917819.67,1685917819,10,303.085,74.86,12.62,10.964,-1345.5,-1143.58
3.0,1685917819.67,1685917819,10,286.419,98.164,15.938,13.885,-1362.16,-1132.3
4.0,1685917819.67,1685917819,10,241.79,183.557,36.096,34.951,-1387.37,-1116.65
1.0,1685917821.53,1685917819,38,302.817,51.795,7.1,6.27,-1312.81,-1160.56
2.0,1685917821.53,1685917819,38,316.466,54.325,9.054,7.075,-1318.9,-1161.21
4.0,1685917821.53,1685917819,38,294.458,85.972,14.554,11.231,-1354.54,-1137.33
5.0,1685917821.53,1685917819,38,277.025,114.739,19.163,15.525,-1369.97,-1127.35
7.0,1685917821.53,1685917819,38,208.006,62.9,14.28,10.501,-1325.04,-1130.48
1.0,1685917821.67,1685917819,40,304.199,50.451,7.167,6.026,-1310.1,-1162.39
2.0,1685917821.67,1685917819,40,317.177,52.896,8.357,6.635,-1316.26,-1162.9
4.0,1685917821.67,1685917819,40,295.969,82.978,14.149,10.511,-1352.3,-1138.72
5.0,1685917821.67,1685917819,40,279.389,109.53,15.975,13.669,-1367.75,-1128.67
7.0,1685917821.67,1685917819,40,203.034,64.871,14.858,11.222,-1327.64,-1128.64
1.0,1685917821.8,1685917819,42,305.148,49.498,7.199,5.367,-1308.08,-1163.75
2.0,1685917821.8,1685917819,42,317.896,51.646,8.329,7.185,-1313.84,-1164.47
4.0,1685917821.8,1685917819,42,297.691,80.428,12.773,10.709,-1350.29,-1140.06
5.0,1685917821.8,1685917819,42,282.353,104.578,15.663,12.701,-1365.46,-1130.14
7.0,1685917821.8,1685917819,42,197.107,67.22,15.828,11.836,-1330.54,-1126.58
1.0,1685917821.73,1685917819,41,304.622,49.947,6.852,5.488,-1309.03,-1163.08
2.0,1685917821.73,1685917819,41,317.467,52.317,8.245,7.186,-1315.15,-1163.6
4.0,1685917821.73,1685917819,41,296.59,81.655,14.132,10.532,-1351.26,-1139.36
5.0,1685917821.73,1685917819,41,281.009,106.839,15.672,12.997,-1366.54,-1129.45
7.0,1685917821.73,1685917819,41,200.213,65.924,15.455,11.194,-1328.95,-1127.66
1.0,1685917819.87,1685917819,13,279.802,75.611,12.293,10.037,-1345.01,-1139.12
2.0,1685917819.87,1685917819,13,304.982,71.084,11.983,11.403,-1341.73,-1145.95
3.0,1685917819.87,1685917819,13,289.98,92.334,15.774,13.041,-1358.76,-1134.5
4.0,1685917819.87,1685917819,13,253.238,162.243,30.984,29.472,-1383.57,-1119.04
1.0,1685917821.13,1685917819,32,298.68,55.916,8.466,6.896,-1320.33,-1155.51
2.0,1685917821.13,1685917819,32,314.017,57.193,9.711,7.508,-1323.71,-1157.86
3.0,1685917821.13,1685917819,32,304.547,68.098,11.587,9.523,-1338.33,-1147.65
