id,time,x_pix,y_pix,w_pix,h_pix
2.0,1685917595.6,320.183,111.828,20.551,18.283
3.0,1685917595.6,110.691,90.58,25.728,14.956
4.0,1685917595.6,197.323,70.489,18.223,11.214
5.0,1685917595.6,268.192,49.013,10.768,7.801
2.0,1685917596.53,345.356,78.396,11.861,10.992
4.0,1685917596.53,102.521,101.539,29.997,18.548
5.0,1685917596.53,231.881,57.815,18.223,11.559
13.0,1685917600.67,116.158,89.296,26.603,14.761
20.0,1685917600.67,344.72,57.903,9.063,10.412
21.0,1685917600.67,121.256,97.123,29.809,17.157
26.0,1685917600.67,340.144,82.485,12.404,12.402
17.0,1685917600.67,218.906,60.304,13.177,7.716
28.0,1685917600.67,288.435,151.162,29.434,25.187
2.0,1685917596.47,344.445,79.688,12.322,11.351
4.0,1685917596.47,111.681,98.449,28.911,18.397
5.0,1685917596.47,234.726,56.978,18.477,11.323
2.0,1685917596.27,340.361,85.67,13.12,12.307
3.0,1685917596.27,19.34,119.774,35.358,21.499
4.0,1685917596.27,136.801,89.974,25.922,16.333
5.0,1685917596.27,243.528,54.952,15.931,10.15
13.0,1685917601.0,77.714,99.732,30.988,15.181
20.0,1685917601.0,348.762,53.371,7.136,9.903
21.0,1685917601.0,70.834,114.604,36.776,21.052
26.0,1685917601.0,346.373,74.906,11.496,11.793
17.0,1685917601.0,203.435,64.021,15.993,9.296
28.0,1685917601.0,309.459,123.936,22.618,19.363
13.0,1685917600.27,152.385,77.59,21.512,12.976
20.0,1685917600.27,338.339,63.314,10.442,11.321
21.0,1685917600.27,165.657,81.966,23.31,13.842
26.0,1685917600.27,330.722,94.152,15.376,15.228
17.0,1685917600.27,235.235,55.397,12.912,6.676
28.0,1685917600.27,242.813,208.53,44.338,39.479
17.0,1685917602.0,135.977,85.046,23.663,12.16
28.0,1685917602.0,341.004,82.754,13.293,11.777
1.0,1685917595.47,32.28,127.978,38.855,20.715
2.0,1685917595.47,314.549,120.203,21.199,18.928
3.0,1685917595.47,124.596,86.399,23.49,13.791
4.0,1685917595.47,207.544,66.776,15.911,10.884
32.0,1685917602.73,221.808,64.233,13.746,8.483
32.0,1685917603.0,203.792,69.187,15.216,10.925
5.0,1685917598.73,11.946,134.904,28.592,24.939
7.0,1685917598.73,332.258,70.622,13.192,11.655
10.0,1685917598.73,344.171,80.816,13.972,13.38
13.0,1685917598.73,235.777,54.262,12.705,7.751
20.0,1685917598.73,283.44,111.19,22.829,21.126
5.0,1685917598.47,58.57,117.373,34.907,21.239
7.0,1685917598.47,325.907,76.179,15.816,13.202
10.0,1685917598.47,337.371,89.16,16.044,14.422
13.0,1685917598.47,244.976,52.169,11.487,6.988
2.0,1685917596.8,348.52,72.417,7.403,10.273
5.0,1685917596.8,220.658,63.109,16.776,11.217
7.0,1685917596.8,216.712,174.522,51.717,40.525
13.0,1685917600.33,146.535,79.778,21.279,11.881
20.0,1685917600.33,339.515,62.386,10.221,11.333
21.0,1685917600.33,159.3,84.132,24.76,14.674
26.0,1685917600.33,332.317,91.989,14.911,14.581
17.0,1685917600.33,232.624,56.052,12.586,7.192
28.0,1685917600.33,253.27,196.064,40.834,37.254
7.0,1685917599.53,345.822,58.182,11.302,9.513
13.0,1685917599.53,200.471,63.5,16.047,11.004
20.0,1685917599.53,320.851,78.518,14.816,14.234
21.0,1685917599.53,219.5,64.657,17.382,10.217
26.0,1685917599.53,301.43,131.06,23.323,22.284
13.0,1685917601.13,62.122,105.376,27.047,14.382
21.0,1685917601.13,45.72,123.466,40.64,22.557
26.0,1685917601.13,347.632,72.023,9.472,11.543
17.0,1685917601.13,196.49,66.226,16.231,9.581
28.0,1685917601.13,315.341,115.914,20.804,18.465
13.0,1685917600.93,85.459,97.957,30.776,16.617
20.0,1685917600.93,348.343,53.753,8.087,11.017
21.0,1685917600.93,82.083,110.626,35.497,20.286
26.0,1685917600.93,345.127,76.548,11.806,11.323
17.0,1685917600.93,206.858,62.752,16.078,9.37
