id,time,x_pix,y_pix,w_pix,h_pix
6.0,1685917585.0,42.554,140.64,52.918,30.312
9.0,1685917585.0,148.363,88.777,28.684,17.74
11.0,1685917585.0,320.405,162.028,26.763,24.797
12.0,1685917585.0,251.809,69.383,15.12,9.189
3.0,1685917584.27,89.137,135.723,37.685,24.698
4.0,1685917584.27,347.825,75.901,8.928,11.998
6.0,1685917584.27,152.139,97.826,32.774,19.732
11.0,1685917585.93,349.504,99.124,4.944,17.158
12.0,1685917585.93,189.051,95.12,22.883,14.561
6.0,1685917585.13,20.169,152.304,45.334,32.329
9.0,1685917585.13,133.805,93.393,30.389,18.362
11.0,1685917585.13,327.901,148.766,24.495,22.307
12.0,1685917585.13,244.437,72.086,15.703,10.306
1.0,1685917583.93,343.712,119.634,17.441,17.843
2.0,1685917583.93,13.181,172.113,33.135,22.908
3.0,1685917583.93,134.04,116.299,31.231,20.669
4.0,1685917583.93,341.966,85.21,15.308,14.249
6.0,1685917583.93,184.485,85.809,27.401,16.621
11.0,1685917585.87,348.687,102.673,6.764,15.845
12.0,1685917585.87,194.887,92.772,22.086,13.947
9.0,1685917585.27,116.824,99.492,35.446,19.516
11.0,1685917585.27,334.299,137.488,21.888,20.379
12.0,1685917585.27,237.187,74.752,16.412,10.83
3.0,1685917584.6,31.641,160.556,46.912,30.552
6.0,1685917584.6,110.407,114.461,40.02,23.846
3.0,1685917584.47,56.73,149.359,42.711,28.26
4.0,1685917584.47,349.707,72.137,4.6,10.179
6.0,1685917584.47,128.594,107.223,37.112,22.502
12.0,1685917586.07,176.562,100.667,24.008,15.06
14.0,1685917586.07,276.256,50.76,17.002,8.654
11.0,1685917585.8,347.953,105.973,8.455,15.825
12.0,1685917585.8,200.453,90.373,21.284,13.175
1.0,1685917583.33,314.943,170.331,30.447,28.36
2.0,1685917583.33,110.8,129.071,35.072,21.466
3.0,1685917583.33,191.883,91.879,22.689,15.322
4.0,1685917583.33,320.197,110.566,21.077,18.667
5.0,1685917583.33,147.987,125.536,37.135,26.526
6.0,1685917583.33,226.693,69.966,20.567,14.049
1.0,1685917584.13,347.194,108.829,10.172,17.406
3.0,1685917584.13,108.454,127.4,34.76,23.159
4.0,1685917584.13,346.148,79.377,12.091,13.2
6.0,1685917584.13,166.026,92.867,30.299,18.735
11.0,1685917585.67,346.124,112.644,12.807,16.576
12.0,1685917585.67,210.692,85.634,19.851,12.974
1.0,1685917584.2,348.057,105.787,8.126,15.916
3.0,1685917584.2,99.086,131.501,36.113,23.79
4.0,1685917584.2,347.189,77.683,10.317,12.625
6.0,1685917584.2,159.145,95.268,31.196,18.983
1.0,1685917583.27,309.921,179.615,32.3,30.359
2.0,1685917583.27,119.969,124.857,33.603,20.33
3.0,1685917583.27,197.227,89.48,21.841,15.167
4.0,1685917583.27,317.109,114.379,21.209,19.678
5.0,1685917583.27,158.883,120.371,35.478,25.027
6.0,1685917583.27,230.503,68.376,20.45,14.268
1.0,1685917584.07,346.202,112.369,12.55,17.151
3.0,1685917584.07,117.329,123.495,33.314,22.127
4.0,1685917584.07,344.798,81.315,13.333,13.549
6.0,1685917584.07,172.346,90.309,29.125,18.19
1.0,1685917583.13,299.311,197.213,35.703,34.318
2.0,1685917583.13,135.003,118.478,31.516,18.708
3.0,1685917583.13,206.041,85.909,20.547,14.52
4.0,1685917583.13,310.49,122.592,22.981,20.191
5.0,1685917583.13,176.046,112.229,31.874,22.867
6.0,1685917583.13,236.98,66.233,18.916,12.593
12.0,1685917586.4,138.133,117.212,30.612,18.17
15.0,1685917586.4,314.177,183.215,32.666,31.65
6.0,1685917585.2,12.402,154.877,32.106,27.587
9.0,1685917585.2,125.68,96.42,32.043,18.628
11.0,1685917585.2,331.215,142.814,22.912,21.309
12.0,1685917585.2,240.93,73.405,16.183,10.538
1.0,1685917583.8,339.933,127.873,21.642,19.709
2.0,1685917583.8,31.806,163.928,48.261,27.884
3.0,1685917583.8,149.134,109.922,29.085,18.997
4.0,1685917583.8,338.396,89.148,16.951,15.507
6.0,1685917583.8,195.422,81.493,25.646,16.341
12.0,1685917587.0,34.172,163.645,46.076,26.697
15.0,1685917587.0,344.221,124.468,16.732,18.532
16.0,1685917587.0,245.419,61.687,17.495,11.832
12.0,1685917586.6,109.465,129.864,34.579,20.04
15.0,1685917586.6,328.507,157.949,27.709,25.698
12.0,1685917586.53,119.737,125.478,33.505,19.186
15.0,1685917586.53,323.986,165.544,28.735,27.448
1.0,1685917583.67,334.19,137.665,22.967,21.191
2.0,1685917583.67,57.777,152.426,44.729,26.458
3.0,1685917583.67,162.474,104.094,26.873,17.889
4.0,1685917583.67,333.871,94.509,17.138,16.237
5.0,1685917583.67,82.828,157.625,50.349,34.165
6.0,1685917583.67,204.827,77.872,23.548,15.881
3.0,1685917584.33,78.953,140.128,38.86,25.964
4.0,1685917584.33,348.453,74.38,7.476,11.433
6.0,1685917584.33,144.736,100.892,34.22,20.43
11.0,1685917585.6,344.996,115.893,15.191,16.96
12.0,1685917585.6,215.644,83.825,19.095,12.383
1.0,1685917583.2,304.821,187.989,34.15,32.853
2.0,1685917583.2,128.022,121.464,32.414,19.663
3.0,1685917583.2,201.805,87.236,20.893,15.255
4.0,1685917583.2,313.591,118.625,22.391,20.149
5.0,1685917583.2,167.544,116.399,34.313,24.298
6.0,1685917583.2,233.949,67.432,20.188,13.71
1.0,1685917583.6,330.888,143.123,24.318,22.384
2.0,1685917583.6,69.376,147.23,42.764,25.159
3.0,1685917583.6,168.771,101.502,26.029,17.559
4.0,1685917583.6,331.533,97.886,17.403,16.138
5.0,1685917583.6,98.032,149.983,47.15,31.959
6.0,1685917583.6,209.488,76.292,22.708,15.346
1.0,1685917583.47,323.642,155.663,27.219,24.347
2.0,1685917583.47,91.015,137.706,38.441,23.306
3.0,1685917583.47,181.044,96.354,24.742,16.866
4.0,1685917583.47,326.539,104.099,19.0,16.802
5.0,1685917583.47,124.649,137.044,41.808,29.294
6.0,1685917583.47,218.508,72.763,21.242,14.115
3.0,1685917584.67,21.14,166.586,43.065,33.096
6.0,1685917584.67,100.511,118.428,41.036,24.905
9.0,1685917584.67,179.672,77.129,23.858,16.749
12.0,1685917586.87,62.848,150.935,41.918,24.126
15.0,1685917586.87,340.937,134.086,22.477,20.233
16.0,1685917586.87,250.873,59.503,17.636,11.873
11.0,1685917585.53,343.569,119.653,16.988,17.708
12.0,1685917585.53,220.373,82.054,18.771,12.376
1.0,1685917583.53,327.412,149.115,25.407,23.342
2.0,1685917583.53,80.568,142.615,40.888,24.316
3.0,1685917583.53,174.979,99.015,25.34,17.033
4.0,1685917583.53,329.161,100.709,18.351,16.634
5.0,1685917583.53,111.913,143.456,43.799,30.097
6.0,1685917583.53,214.01,74.295,22.04,15.3
3.0,1685917584.53,44.643,154.826,44.627,29.262
6.0,1685917584.53,119.814,110.698,38.258,23.194
3.0,1685917584.4,68.15,144.626,41.082,26.914
4.0,1685917584.4,349.086,73.3,5.99,10.674
6.0,1685917584.4,137.121,104.043,35.394,21.046
9.0,1685917585.33,109.018,102.278,35.397,20.496
11.0,1685917585.33,337.205,132.792,20.463,19.838
12.0,1685917585.33,233.224,76.256,16.961,11.423
3.0,1685917584.73,12.941,171.196,32.418,30.558
6.0,1685917584.73,90.43,122.188,43.432,25.446
9.0,1685917584.73,174.558,79.611,24.443,15.802
6.0,1685917584.87,67.349,131.047,46.852,26.885
9.0,1685917584.87,161.795,84.1,26.553,16.507
11.0,1685917584.87,310.827,177.954,29.551,29.087
12.0,1685917584.87,257.521,66.67,13.979,8.834
9.0,1685917585.4,99.475,105.603,37.585,21.132
11.0,1685917585.4,339.681,128.111,19.858,18.858
12.0,1685917585.4,229.322,77.914,18.459,12.153
1.0,1685917583.73,336.952,132.521,22.352,20.417
2.0,1685917583.73,45.464,157.996,46.655,26.535
3.0,1685917583.73,155.996,106.985,28.152,18.339
4.0,1685917583.73,336.13,91.668,16.357,15.945
5.0,1685917583.73,66.871,165.784,53.606,35.863
6.0,1685917583.73,200.395,79.682,24.433,15.793
12.0,1685917586.33,146.721,113.391,29.58,17.753
15.0,1685917586.33,309.144,192.33,34.336,33.762
1.0,1685917583.4,319.683,162.822,28.846,26.325
2.0,1685917583.4,101.17,133.114,36.683,22.234
3.0,1685917583.4,186.524,93.952,23.869,16.092
4.0,1685917583.4,323.551,106.934,20.007,17.817
5.0,1685917583.4,136.48,131.046,39.621,27.942
6.0,1685917583.4,222.501,71.446,21.192,13.966
6.0,1685917585.07,29.568,146.401,53.934,31.63
9.0,1685917585.07,141.22,91.082,29.194,17.737
11.0,1685917585.07,324.362,155.092,25.503,23.449
12.0,1685917585.07,248.175,70.515,15.194,10.352
1.0,1685917583.87,342.089,123.223,19.516,19.136
2.0,1685917583.87,19.958,168.291,41.381,26.285
3.0,1685917583.87,141.836,113.006,30.165,19.941
4.0,1685917583.87,340.206,87.126,15.447,15.023
6.0,1685917583.87,189.915,83.508,26.607,16.717
12.0,1685917586.73,87.532,139.49,37.583,21.918
15.0,1685917586.73,335.584,145.071,24.942,22.216
6.0,1685917584.93,55.406,135.85,50.178,28.725
9.0,1685917584.93,155.287,86.548,27.869,16.861
11.0,1685917584.93,315.822,169.618,27.75,26.685
12.0,1685917584.93,255.421,67.62,15.528,9.277
12.0,1685917586.47,129.305,121.26,31.759,18.829
15.0,1685917586.47,319.414,173.759,30.318,29.691
1.0,1685917584.0,345.096,115.832,14.914,17.803
3.0,1685917584.0,125.815,120.011,32.432,21.574
4.0,1685917584.0,343.679,83.592,14.266,13.456
6.0,1685917584.0,178.486,87.923,27.746,17.287
12.0,1685917586.67,98.863,134.436,36.054,21.147
15.0,1685917586.67,331.192,151.4,24.301,24.325
12.0,1685917586.8,75.738,145.066,39.16,23.132
15.0,1685917586.8,338.622,139.441,23.69,21.22
16.0,1685917586.8,253.055,58.619,18.256,11.764
9.0,1685917585.47,90.728,109.135,37.352,22.142
11.0,1685917585.47,342.018,123.555,18.904,18.039
12.0,1685917585.47,225.142,79.906,18.541,11.871
12.0,1685917586.93,49.037,157.147,43.865,25.092
15.0,1685917586.93,342.559,128.801,19.326,19.172
16.0,1685917586.93,248.001,60.613,17.263,11.108
11.0,1685917585.73,347.078,109.363,10.602,16.754
12.0,1685917585.73,205.611,87.971,20.854,13.13
12.0,1685917586.13,169.672,103.448,25.683,15.581
14.0,1685917586.13,275.699,51.393,14.643,8.93
6.0,1685917584.8,79.419,126.405,45.577,26.282
9.0,1685917584.8,168.133,81.917,24.955,15.788
11.0,1685917584.8,306.327,185.865,31.232,29.608
12.0,1685917586.0,182.81,97.969,23.32,14.732
12.0,1685917586.27,154.53,110.025,28.034,16.961
12.0,1685917586.2,162.247,106.703,26.754,16.259
14.0,1685917586.2,274.963,52.351,12.437,8.129
15.0,1685917528.6,102.674,105.964,32.724,21.126
3.0,1685917527.73,343.469,122.506,17.442,17.707
3.0,1685917527.47,334.5,140.303,22.804,20.826
,1685917528.4,266.609,172.102,33.953,27.392
,1685917528.4,125.295,98.388,29.425,18.272
,1685917528.4,284.553,49.32,11.769,6.934
,1685917528.4,25.735,72.102,16.108,8.67
17.0,1685917529.67,338.094,86.959,15.338,13.449
18.0,1685917529.67,236.2,67.097,15.653,9.262
17.0,1685917529.87,342.852,80.692,13.279,12.499
18.0,1685917529.87,225.081,71.258,16.506,10.12
18.0,1685917530.87,141.762,102.528,27.729,16.286
19.0,1685917530.87,303.446,53.262,11.692,8.595
17.0,1685917530.13,347.561,73.464,9.694,11.9
18.0,1685917530.13,208.313,77.368,19.156,11.911
,1685917528.27,249.815,191.707,38.964,33.574
,1685917528.27,139.544,93.569,27.949,18.988
,1685917528.27,288.33,48.185,10.264,6.04
,1685917528.27,25.693,72.079,15.952,8.451
,1685917528.33,258.214,181.164,35.923,29.709
,1685917528.33,132.266,95.544,29.617,18.535
,1685917528.33,286.339,49.111,10.945,6.572
,1685917528.33,25.76,72.126,15.904,8.645
1.0,1685917527.13,85.003,153.141,44.298,27.885
17.0,1685917530.0,345.949,77.039,12.132,11.851
18.0,1685917530.0,217.022,74.066,17.555,11.189
3.0,1685917527.53,337.496,135.328,21.501,19.501
17.0,1685917529.73,339.811,84.756,14.653,12.992
18.0,1685917529.73,232.94,68.374,16.268,9.52
18.0,1685917530.47,182.532,86.935,22.463,13.555
19.0,1685917530.47,315.347,46.512,12.679,11.712
3.0,1685917527.4,331.168,145.909,23.735,21.873
4.0,1685917527.4,207.447,70.377,19.403,12.577
17.0,1685917529.33,327.408,99.861,17.517,15.342
18.0,1685917529.33,252.327,60.899,13.482,8.89
15.0,1685917529.27,6.875,142.72,20.424,24.797
17.0,1685917529.27,324.51,102.839,18.634,15.23
18.0,1685917529.27,255.308,59.603,13.207,8.61
17.0,1685917530.07,346.979,75.355,10.834,12.192
18.0,1685917530.07,212.792,75.69,18.697,11.273
18.0,1685917530.53,176.577,89.261,23.164,13.997
19.0,1685917530.53,313.169,47.778,12.101,10.509
,1685917528.53,109.479,103.89,32.095,20.646
,1685917528.53,280.1,156.02,29.371,24.402
,1685917528.53,280.527,51.135,10.659,6.556
,1685917528.53,25.727,72.138,15.993,8.614
17.0,1685917529.93,344.384,78.783,12.747,12.188
18.0,1685917529.93,221.191,72.505,16.946,10.705
15.0,1685917529.13,21.052,135.453,42.152,28.308
17.0,1685917529.13,319.044,109.879,19.369,16.802
18.0,1685917529.13,260.603,57.786,12.859,8.383
8.0,1685917528.13,225.814,217.659,47.003,39.015
18.0,1685917530.8,149.517,99.293,26.407,15.93
19.0,1685917530.8,305.509,52.448,11.553,8.222
3.0,1685917527.67,342.2,126.751,19.541,18.421
17.0,1685917530.4,349.871,68.644,4.293,9.281
18.0,1685917530.4,188.117,84.832,21.476,12.864
19.0,1685917530.4,316.641,46.097,11.897,11.354
3.0,1685917528.0,347.356,109.035,9.258,16.065
3.0,1685917527.93,346.667,112.225,10.902,15.993
,1685917528.2,239.362,203.138,42.136,37.243
,1685917528.2,145.818,91.01,27.626,18.02
,1685917528.2,349.724,102.237,4.248,15.597
,1685917528.2,25.712,72.013,16.051,8.598
,1685917528.2,290.322,47.581,9.056,5.891
18.0,1685917530.93,133.525,105.853,29.002,16.824
19.0,1685917530.93,301.486,53.968,11.828,8.921
17.0,1685917530.27,348.864,70.61,6.7,10.758
18.0,1685917530.27,198.733,81.022,20.411,11.864
19.0,1685917530.27,319.049,43.845,10.679,11.829
,1685917528.47,273.563,163.471,31.371,26.206
,1685917528.47,117.469,100.935,31.682,20.277
,1685917528.47,283.004,50.273,9.676,6.049
,1685917528.47,25.743,72.092,16.098,8.684
1.0,1685917527.33,36.671,177.286,53.667,34.458
3.0,1685917527.33,328.565,151.556,25.938,22.208
15.0,1685917528.8,75.323,115.576,37.714,24.114
17.0,1685917528.8,299.952,132.602,23.919,20.662
18.0,1685917531.0,125.22,109.265,30.591,17.835
19.0,1685917531.0,299.583,55.066,12.44,9.099
17.0,1685917529.53,334.116,91.834,15.612,14.195
18.0,1685917529.53,243.156,64.535,14.669,9.158
1.0,1685917527.27,55.43,167.636,49.962,31.964
3.0,1685917527.27,325.354,157.292,26.463,23.673
