id,time,x_pix,y_pix,w_pix,h_pix
1.0,1685917704.93,244.732,66.1,8.248,7.687
1.0,1685917706.07,223.12,83.731,12.557,11.022
3.0,1685917707.13,245.234,65.199,8.226,7.93
4.0,1685917707.13,207.713,77.825,11.959,10.22
5.0,1685917707.13,227.978,69.919,10.75,12.913
8.0,1685917707.13,283.629,166.646,21.159,22.485
1.0,1685917706.0,225.035,82.453,12.262,10.527
1.0,1685917705.73,231.532,77.554,11.234,9.249
3.0,1685917707.67,238.725,71.075,9.669,8.622
4.0,1685917707.67,190.412,87.684,13.336,11.912
5.0,1685917707.67,217.102,77.236,13.692,14.849
8.0,1685917707.67,298.191,129.269,13.642,15.426
3.0,1685917708.0,233.1,76.061,10.842,9.564
5.0,1685917708.0,208.296,82.657,16.086,17.345
8.0,1685917708.0,303.292,113.988,9.997,13.58
3.0,1685917706.93,246.814,63.216,8.06,7.582
4.0,1685917706.93,212.417,74.4,10.825,9.416
5.0,1685917706.93,230.774,67.471,10.39,12.458
8.0,1685917706.93,274.189,188.658,25.984,27.136
1.0,1685917706.27,216.746,88.21,14.05,11.92
3.0,1685917706.27,251.45,58.217,7.256,5.934
1.0,1685917706.8,193.38,104.408,17.187,15.269
3.0,1685917706.8,247.863,62.132,8.364,7.444
4.0,1685917706.8,215.555,72.604,10.708,9.594
5.0,1685917706.8,232.709,65.902,10.188,12.347
1.0,1685917706.4,211.894,91.484,14.82,12.712
3.0,1685917706.4,251.058,58.745,7.488,6.817
4.0,1685917706.4,223.214,67.937,9.209,7.833
3.0,1685917707.47,241.303,68.486,9.077,8.532
4.0,1685917707.47,197.557,83.411,13.163,11.427
5.0,1685917707.47,221.462,74.397,12.616,13.707
8.0,1685917707.47,293.832,140.84,16.251,17.243
3.0,1685917707.87,235.651,73.77,10.181,8.838
5.0,1685917707.87,212.187,79.991,15.228,16.982
8.0,1685917707.87,301.061,119.47,13.417,14.465
3.0,1685917707.73,237.784,72.045,9.489,8.989
5.0,1685917707.73,215.656,78.046,14.35,15.734
8.0,1685917707.73,299.414,125.953,13.572,14.926
3.0,1685917707.8,236.72,72.788,10.041,8.827
5.0,1685917707.8,213.942,78.937,14.993,16.422
8.0,1685917707.8,300.377,122.655,13.54,14.463
1.0,1685917705.6,234.255,75.514,10.112,8.277
1.0,1685917705.27,240.068,70.074,9.447,8.024
1.0,1685917706.47,209.112,93.417,14.944,12.971
3.0,1685917706.47,250.672,59.229,7.75,6.795
4.0,1685917706.47,222.007,68.511,9.537,8.169
5.0,1685917706.47,237.174,63.023,9.003,10.799
1.0,1685917705.67,232.994,76.668,10.597,8.762
1.0,1685917705.33,239.004,70.973,9.391,8.332
3.0,1685917707.93,234.343,74.714,10.383,9.332
5.0,1685917707.93,210.252,81.426,15.691,16.998
8.0,1685917707.93,302.458,116.774,11.685,14.037
1.0,1685917705.13,242.044,68.621,8.481,7.587
1.0,1685917705.2,240.975,68.934,9.183,8.455
1.0,1685917705.4,237.923,71.983,9.09,8.261
1.0,1685917706.13,221.178,85.296,13.114,11.131
3.0,1685917706.13,252.196,56.996,7.814,6.317
3.0,1685917707.6,239.701,70.096,9.32,8.384
4.0,1685917707.6,192.644,86.265,13.898,11.598
5.0,1685917707.6,218.55,76.239,13.46,14.399
8.0,1685917707.6,296.763,133.066,14.258,15.706
3.0,1685917707.27,243.868,66.562,8.125,7.902
4.0,1685917707.27,203.891,80.21,12.41,10.257
5.0,1685917707.27,225.194,71.448,11.664,13.847
8.0,1685917707.27,288.878,154.901,19.326,19.845
1.0,1685917706.53,206.353,95.123,15.793,13.587
3.0,1685917706.53,250.257,59.808,7.877,6.834
4.0,1685917706.53,220.656,69.581,9.476,7.888
5.0,1685917706.53,236.38,63.619,9.547,11.111
3.0,1685917707.2,244.636,65.876,8.158,8.007
4.0,1685917707.2,205.843,78.896,12.174,10.417
5.0,1685917707.2,226.616,70.639,11.186,12.929
8.0,1685917707.2,286.321,160.265,20.891,21.219
1.0,1685917706.2,219.103,87.117,13.045,10.93
3.0,1685917706.2,251.907,57.408,7.569,6.205
3.0,1685917706.87,247.315,62.58,8.132,7.648
4.0,1685917706.87,213.832,73.559,10.232,9.371
5.0,1685917706.87,231.856,66.853,10.066,12.197
3.0,1685917707.33,243.091,67.142,8.52,8.299
4.0,1685917707.33,201.887,81.035,12.288,10.954
5.0,1685917707.33,224.05,72.277,11.773,14.008
8.0,1685917707.33,290.638,150.026,19.293,18.918
1.0,1685917704.87,245.37,65.428,8.093,7.894
1.0,1685917705.53,235.622,74.439,9.851,7.984
1.0,1685917706.67,199.724,99.393,16.567,14.707
3.0,1685917706.67,249.084,60.914,8.186,7.319
4.0,1685917706.67,218.333,70.894,10.282,9.176
5.0,1685917706.67,234.393,64.918,9.813,11.641
3.0,1685917707.0,246.387,63.718,8.133,7.977
4.0,1685917707.0,210.777,75.437,11.1,9.813
5.0,1685917707.0,229.928,68.224,10.909,12.766
8.0,1685917707.0,277.358,181.664,24.697,26.136
1.0,1685917705.07,242.736,67.902,8.845,7.214
1.0,1685917706.6,203.392,97.185,15.832,14.007
3.0,1685917706.6,249.632,60.291,8.064,7.225
4.0,1685917706.6,219.509,70.208,9.572,8.55
5.0,1685917706.6,235.432,64.256,9.565,11.437
1.0,1685917706.73,196.305,101.828,17.443,15.141
3.0,1685917706.73,248.382,61.415,8.465,7.511
4.0,1685917706.73,217.018,71.73,10.443,9.379
5.0,1685917706.73,233.474,65.515,9.984,12.0
1.0,1685917705.87,228.505,79.784,11.768,10.187
1.0,1685917705.0,243.774,66.741,8.597,7.709
1.0,1685917705.47,236.82,72.962,9.63,8.617
3.0,1685917707.07,245.893,64.207,8.136,8.048
4.0,1685917707.07,209.324,76.415,11.355,10.045
5.0,1685917707.07,228.959,68.933,10.812,13.105
8.0,1685917707.07,281.186,173.565,22.506,23.701
1.0,1685917705.93,226.907,81.065,11.66,10.376
3.0,1685917707.4,242.205,67.821,8.805,8.151
4.0,1685917707.4,199.712,82.261,12.956,11.152
5.0,1685917707.4,222.79,73.382,12.214,13.72
8.0,1685917707.4,292.601,145.137,17.491,17.966
3.0,1685917707.53,240.471,69.377,9.441,8.393
4.0,1685917707.53,195.033,84.911,13.732,11.713
5.0,1685917707.53,220.37,75.3,12.936,14.007
8.0,1685917707.53,295.303,136.895,15.534,16.698
1.0,1685917706.33,214.509,89.9,14.377,12.32
3.0,1685917706.33,251.302,58.454,7.49,6.417
4.0,1685917706.33,224.18,67.231,8.888,7.51
1.0,1685917705.8,229.967,78.737,11.503,9.488
,1685917666.4,267.801,105.437,12.555,13.229
,1685917666.4,137.344,126.053,22.634,18.736
,1685917666.4,254.673,57.171,6.731,3.783
,1685917666.4,242.657,52.121,5.932,4.643
,1685917666.4,48.975,133.379,8.546,8.675
,1685917666.4,283.519,50.658,5.251,5.608
,1685917666.4,293.945,84.67,9.088,9.261
,1685917666.93,69.921,161.064,33.799,26.368
,1685917666.93,250.882,60.832,7.946,6.285
,1685917666.93,276.233,89.263,9.414,10.35
,1685917666.93,136.255,115.039,20.409,14.708
,1685917666.93,239.834,55.381,5.86,4.302
,1685917666.93,167.756,223.75,52.382,32.122
,1685917666.93,49.001,133.391,8.562,8.616
,1685917666.93,295.38,76.174,7.709,7.184
