id,time,x_pix,y_pix,w_pix,h_pix
75.0,1687796850.67,152.399,64.104,9.263,7.405
82.0,1687796850.67,16.536,105.47,14.018,14.766
96.0,1687796850.67,150.044,118.01,13.892,13.181
99.0,1687796850.67,300.124,186.816,34.033,30.953
112.0,1687796850.67,259.064,112.034,23.148,14.043
116.0,1687796850.67,224.738,154.506,24.467,20.196
15.0,1687796844.33,283.212,113.801,24.821,14.19
5.0,1687796848.2,163.428,68.349,12.308,8.311
75.0,1687796848.2,233.073,93.62,16.41,12.163
89.0,1687796848.2,194.679,81.126,10.82,7.087
5.0,1687796848.73,151.544,63.836,9.888,7.221
75.0,1687796848.73,208.27,84.194,14.351,10.955
89.0,1687796848.73,177.19,74.399,9.465,6.264
5.0,1687796849.13,143.671,61.064,9.378,6.266
75.0,1687796849.13,193.171,78.982,12.932,9.433
89.0,1687796849.13,165.746,70.18,9.537,6.755
92.0,1687796849.13,206.111,144.572,21.599,16.209
82.0,1687796849.13,27.467,91.305,10.785,9.922
95.0,1687796849.13,284.828,180.493,32.001,27.605
96.0,1687796849.13,110.372,86.348,7.823,8.221
75.0,1687796850.87,148.459,62.412,8.546,6.863
82.0,1687796850.87,14.711,107.535,14.237,14.891
96.0,1687796850.87,158.688,124.796,14.263,14.246
112.0,1687796850.87,242.784,105.334,20.782,13.511
116.0,1687796850.87,245.202,168.952,26.735,23.457
5.0,1687796850.47,123.596,53.941,8.261,5.64
75.0,1687796850.47,156.72,65.525,9.74,7.627
82.0,1687796850.47,18.014,103.054,13.724,13.761
96.0,1687796850.47,142.706,112.065,12.567,12.213
99.0,1687796850.47,272.261,168.972,29.55,26.48
112.0,1687796850.47,278.2,119.415,26.459,15.946
75.0,1687796850.6,153.957,64.542,9.222,7.566
82.0,1687796850.6,16.917,104.68,14.258,13.987
96.0,1687796850.6,147.373,115.906,13.407,13.034
99.0,1687796850.6,290.269,180.576,32.178,29.178
112.0,1687796850.6,265.149,114.392,24.289,15.194
116.0,1687796850.6,218.547,151.184,22.195,18.843
1.0,1687796843.13,211.362,133.13,20.412,15.532
15.0,1687796846.8,168.347,70.551,11.403,7.5
40.0,1687796846.8,267.172,166.879,30.977,26.693
52.0,1687796846.8,4.365,144.113,8.955,27.158
5.0,1687796846.8,208.556,85.016,17.473,11.584
67.0,1687796846.8,195.15,124.083,18.133,14.612
5.0,1687796850.13,128.292,55.508,7.161,5.505
75.0,1687796850.13,164.179,67.962,10.307,8.838
82.0,1687796850.13,20.551,100.14,13.033,12.385
96.0,1687796850.13,132.664,103.87,11.656,11.194
99.0,1687796850.13,235.559,146.771,23.358,20.571
5.0,1687796849.87,131.799,56.791,8.204,6.136
75.0,1687796849.87,170.689,70.608,10.658,8.709
89.0,1687796849.87,149.236,64.443,8.515,6.235
82.0,1687796849.87,22.515,97.326,12.775,12.687
96.0,1687796849.87,125.572,98.547,11.268,10.449
99.0,1687796849.87,213.318,132.819,19.919,17.214
5.0,1687796849.0,146.117,62.229,10.302,6.729
75.0,1687796849.0,197.866,80.666,13.281,9.632
89.0,1687796849.0,169.206,71.308,9.441,6.725
92.0,1687796849.0,195.694,137.197,20.368,14.969
82.0,1687796849.0,28.232,90.35,10.516,9.555
15.0,1687796844.73,253.232,102.144,21.16,11.921
15.0,1687796847.6,150.316,64.533,8.493,5.742
5.0,1687796847.6,179.904,74.115,14.133,9.922
67.0,1687796847.6,265.509,167.685,30.103,25.301
75.0,1687796847.6,268.359,108.025,22.932,14.42
82.0,1687796847.6,35.826,79.424,8.447,8.68
89.0,1687796847.6,220.874,91.166,13.127,8.624
5.0,1687796850.07,128.971,55.901,7.759,5.445
75.0,1687796850.07,165.914,68.624,10.016,8.732
82.0,1687796850.07,21.174,99.518,13.079,12.256
