id,time,x_pix,y_pix,w_pix,h_pix
5.0,1685917656.87,227.409,79.724,9.811,9.186
14.0,1685917658.07,195.008,101.439,13.889,12.875
3.0,1685917655.2,32.643,109.349,25.545,17.944
5.0,1685917655.2,194.778,161.463,22.399,23.631
3.0,1685917654.67,78.378,86.406,18.066,13.524
1.0,1685917654.4,223.756,88.774,11.548,10.72
3.0,1685917654.4,95.122,78.634,15.967,11.738
1.0,1685917654.13,221.082,96.824,12.467,11.987
3.0,1685917654.13,109.365,72.129,14.119,10.644
3.0,1685917654.93,57.966,96.74,20.935,15.311
5.0,1685917654.93,181.242,195.39,26.494,31.367
1.0,1685917653.73,214.87,113.154,14.281,14.121
3.0,1685917653.73,125.984,64.46,12.502,9.424
,1685917657.0,138.794,190.893,32.006,33.333
,1685917657.0,180.0,190.375,34.803,41.002
,1685917657.0,97.084,87.613,21.117,15.237
5.0,1685917656.6,224.07,86.693,12.337,10.181
1.0,1685917653.4,208.043,131.616,17.262,17.769
2.0,1685917653.4,222.336,88.206,11.465,11.457
3.0,1685917653.4,137.429,59.126,10.981,7.984
4.0,1685917653.4,14.627,72.415,15.272,8.815
3.0,1685917654.8,68.588,91.104,19.482,14.629
1.0,1685917654.6,225.803,83.521,11.493,10.289
3.0,1685917654.6,82.9,84.267,17.532,13.474
14.0,1685917659.0,213.054,73.195,9.409,8.559
3.0,1685917655.0,52.209,99.688,21.602,16.144
5.0,1685917655.0,184.625,186.733,24.639,29.222
,1685917656.93,131.444,201.863,35.063,36.886
,1685917656.93,175.962,201.632,36.445,42.518
5.0,1685917655.67,209.431,124.887,15.609,16.112
3.0,1685917655.13,39.543,105.998,24.515,17.293
5.0,1685917655.13,191.619,168.755,22.754,25.249
5.0,1685917655.73,211.047,120.817,15.373,15.161
5.0,1685917655.87,213.468,113.786,14.05,14.164
14.0,1685917657.47,171.996,138.448,21.4,20.465
14.0,1685917657.33,164.247,151.007,23.462,23.257
14.0,1685917658.87,211.119,76.288,9.117,8.602
5.0,1685917656.73,225.668,83.046,11.07,9.776
5.0,1685917656.07,217.076,103.96,13.025,13.117
7.0,1685917656.07,142.606,63.405,12.845,9.324
1.0,1685917653.0,195.861,164.446,22.716,24.475
2.0,1685917653.0,217.306,101.096,13.722,13.875
3.0,1685917653.0,149.282,54.129,9.844,6.724
4.0,1685917653.0,34.785,66.607,14.02,8.815
1.0,1685917652.73,182.527,197.683,27.967,34.596
2.0,1685917652.73,212.968,112.087,14.396,16.332
3.0,1685917652.73,156.358,50.578,8.209,6.361
4.0,1685917652.73,46.793,63.384,13.193,8.228
14.0,1685917657.87,188.75,111.264,14.865,14.26
14.0,1685917657.4,167.677,145.039,22.306,21.621
3.0,1685917655.27,25.239,113.333,26.616,18.726
5.0,1685917655.27,197.597,155.127,21.491,22.212
1.0,1685917653.53,211.209,123.15,16.1,16.171
2.0,1685917653.53,223.668,84.938,10.978,10.535
3.0,1685917653.53,133.045,61.504,11.139,7.603
4.0,1685917653.53,8.058,74.348,15.893,9.742
14.0,1685917658.67,208.053,81.161,10.342,9.647
14.0,1685917658.13,196.682,98.804,13.299,12.205
1.0,1685917653.07,198.661,157.892,22.222,23.294
2.0,1685917653.07,218.505,98.49,13.062,13.681
3.0,1685917653.07,147.49,54.976,9.38,6.46
4.0,1685917653.07,31.288,67.85,14.135,8.558
1.0,1685917652.93,193.067,171.822,23.698,26.011
2.0,1685917652.93,216.308,103.716,14.123,14.519
3.0,1685917652.93,151.103,53.265,9.951,7.102
4.0,1685917652.93,37.741,65.648,13.711,8.958
1.0,1685917652.67,179.499,206.216,29.694,36.175
2.0,1685917652.67,211.932,114.811,14.378,16.18
3.0,1685917652.67,157.692,50.13,8.918,6.349
4.0,1685917652.67,49.045,62.676,13.329,8.428
,1685917657.27,160.717,156.26,24.65,24.078
