id,time,x_pix,y_pix,w_pix,h_pix
,1685917518.93,222.013,91.993,8.996,7.598
,1685917518.93,110.245,194.876,30.493,22.462
,1685917518.93,234.712,104.646,9.831,8.323
,1685917518.93,187.274,158.948,18.728,14.258
,1685917518.93,125.49,128.736,16.377,12.215
,1685917518.93,235.555,123.053,10.875,9.746
,1685917518.93,206.813,131.855,13.867,11.093
,1685917518.93,201.906,124.299,16.701,11.531
,1685917518.93,268.663,88.688,12.249,6.781
,1685917518.93,259.104,105.433,10.09,11.396
,1685917518.93,236.08,82.449,7.446,6.413
,1685917518.93,270.797,89.045,7.626,6.28
,1685917518.93,187.306,101.237,11.215,10.729
,1685917518.93,299.761,75.253,5.201,4.932
,1685917518.93,258.556,100.642,9.894,12.303
15.0,1685917516.8,91.651,149.961,20.434,13.581
36.0,1685917516.8,169.367,144.403,16.895,12.09
38.0,1685917516.8,220.389,88.785,8.394,6.913
36.0,1685917517.8,221.787,112.946,11.317,8.392
15.0,1685917516.6,110.615,141.411,17.571,12.409
36.0,1685917516.6,152.994,153.558,18.269,13.167
38.0,1685917516.6,225.496,87.231,7.843,6.35
15.0,1685917517.13,54.024,166.828,24.663,15.877
36.0,1685917517.13,190.579,131.412,14.514,10.319
38.0,1685917517.13,210.944,92.744,8.877,7.636
2.0,1685917516.27,5.327,163.446,14.281,15.982
15.0,1685917516.27,137.114,129.664,15.667,10.635
15.0,1685917516.4,127.477,134.176,16.359,11.385
1.0,1685917515.53,55.205,169.363,24.441,16.899
2.0,1685917515.53,62.12,140.941,21.401,15.307
5.0,1685917515.53,218.286,89.392,10.412,8.043
1.0,1685917515.67,36.362,177.776,27.161,18.538
2.0,1685917515.67,52.219,144.556,23.089,16.446
5.0,1685917515.67,214.479,90.877,10.332,8.474
36.0,1685917517.73,219.238,114.32,11.34,8.902
2.0,1685917516.0,24.232,155.179,25.126,17.491
5.0,1685917516.0,203.946,95.498,10.948,8.463
15.0,1685917516.0,155.35,121.398,13.648,10.245
15.0,1685917517.2,45.183,170.685,25.511,17.135
36.0,1685917517.2,194.656,129.072,14.105,9.877
38.0,1685917517.2,208.78,93.694,9.085,7.69
36.0,1685917518.0,228.815,108.811,11.141,7.724
