id,time,x_pix,y_pix,w_pix,h_pix
19.0,1685917753.47,153.567,106.615,12.833,8.737
21.0,1685917753.47,184.644,87.816,8.525,8.17
17.0,1685917753.47,127.4,111.429,13.927,10.088
23.0,1685917753.47,117.824,124.178,16.403,11.91
2.0,1685917751.73,143.375,104.999,14.952,10.759
3.0,1685917751.73,233.52,100.479,7.892,8.514
4.0,1685917751.73,227.952,87.885,6.818,6.263
6.0,1685917751.73,249.409,78.05,4.726,4.734
17.0,1685917751.73,192.477,90.299,8.662,5.907
2.0,1685917751.6,148.735,102.874,14.444,9.868
3.0,1685917751.6,230.786,103.01,8.251,9.019
4.0,1685917751.6,225.841,89.323,6.592,6.784
6.0,1685917751.6,248.018,78.935,5.249,5.191
17.0,1685917751.6,195.761,88.649,8.15,6.191
2.0,1685917750.47,182.961,89.235,10.668,7.654
3.0,1685917750.47,193.589,141.958,15.669,14.9
4.0,1685917750.47,199.601,108.042,11.278,9.583
6.0,1685917750.47,237.214,87.757,6.776,6.867
19.0,1685917753.67,143.585,110.946,13.683,9.815
21.0,1685917753.67,180.123,89.377,8.915,8.848
17.0,1685917753.67,116.009,116.085,14.937,11.046
23.0,1685917753.67,100.347,132.402,18.884,13.024
2.0,1685917751.4,156.242,99.612,13.841,9.798
3.0,1685917751.4,226.652,107.061,8.998,9.371
4.0,1685917751.4,222.207,91.857,7.748,7.249
6.0,1685917751.4,246.443,80.015,6.599,5.7
2.0,1685917750.6,179.639,90.427,10.672,8.08
3.0,1685917750.6,200.313,134.137,14.629,13.792
4.0,1685917750.6,203.801,104.901,10.349,9.369
6.0,1685917750.6,238.893,86.138,6.026,6.571
2.0,1685917751.27,160.747,97.816,12.957,8.927
3.0,1685917751.27,223.483,110.153,9.513,9.552
4.0,1685917751.27,219.999,93.334,8.054,8.124
6.0,1685917751.27,245.425,80.727,6.394,5.816
2.0,1685917753.4,11.062,158.224,26.892,25.881
19.0,1685917753.4,156.736,105.128,12.129,8.557
21.0,1685917753.4,186.057,87.443,8.844,7.363
17.0,1685917753.4,130.533,110.457,13.766,10.114
19.0,1685917753.6,147.087,109.564,13.577,9.242
21.0,1685917753.6,181.616,88.954,8.939,8.499
17.0,1685917753.6,119.894,114.48,14.293,10.631
23.0,1685917753.6,106.618,129.382,18.435,12.687
2.0,1685917752.07,127.765,111.275,18.151,11.957
3.0,1685917752.07,238.603,95.139,6.579,7.731
4.0,1685917752.07,233.073,84.623,6.487,5.884
17.0,1685917752.07,183.679,93.892,9.576,6.882
2.0,1685917752.13,124.102,112.831,18.934,12.349
3.0,1685917752.13,239.455,94.158,6.623,7.396
4.0,1685917752.13,233.911,84.258,6.333,5.711
17.0,1685917752.13,181.705,94.965,9.689,6.828
19.0,1685917752.13,196.638,87.666,8.199,6.106
2.0,1685917752.6,93.64,124.469,23.885,16.097
4.0,1685917752.6,239.14,80.67,5.842,5.102
17.0,1685917752.6,164.985,100.364,12.038,11.065
19.0,1685917752.6,184.686,93.001,9.534,6.541
1.0,1685917750.07,61.447,143.539,26.409,19.582
2.0,1685917750.07,191.474,85.739,8.786,6.618
3.0,1685917750.07,164.135,172.711,23.739,21.775
4.0,1685917750.07,184.097,119.01,13.622,11.293
5.0,1685917750.07,158.015,106.167,12.794,8.283
2.0,1685917752.73,83.048,128.284,25.903,17.986
4.0,1685917752.73,240.699,80.054,5.262,5.251
17.0,1685917752.73,159.776,102.267,11.808,12.327
19.0,1685917752.73,181.102,94.506,9.618,6.553
2.0,1685917752.0,131.153,109.757,17.22,11.72
3.0,1685917752.0,237.733,96.215,7.023,7.596
4.0,1685917752.0,232.048,85.305,6.393,5.813
17.0,1685917752.0,185.366,93.061,9.207,6.823
2.0,1685917753.07,49.827,141.738,32.518,22.228
17.0,1685917753.07,144.877,109.283,14.378,14.806
19.0,1685917753.07,170.268,99.583,10.814,7.656
2.0,1685917752.67,88.699,126.328,24.758,17.133
4.0,1685917752.67,239.88,80.476,5.451,4.961
17.0,1685917752.67,162.28,101.276,11.916,11.692
19.0,1685917752.67,182.859,93.837,9.638,6.364
2.0,1685917752.93,64.163,135.856,29.699,20.144
17.0,1685917752.93,151.381,105.298,12.16,14.311
19.0,1685917752.93,174.815,97.404,10.288,7.157
2.0,1685917750.73,176.414,91.738,10.783,8.022
3.0,1685917750.73,206.567,127.972,12.834,12.196
4.0,1685917750.73,207.774,102.05,9.585,8.723
6.0,1685917750.73,240.056,85.151,6.534,5.928
2.0,1685917751.07,167.227,95.404,11.942,8.745
3.0,1685917751.07,217.906,116.008,10.765,10.682
4.0,1685917751.07,215.875,96.381,8.337,7.724
6.0,1685917751.07,243.54,82.349,6.282,5.739
2.0,1685917751.13,164.942,96.156,12.562,9.023
3.0,1685917751.13,219.769,114.007,9.968,10.574
4.0,1685917751.13,217.2,95.515,8.424,7.677
6.0,1685917751.13,244.274,81.802,6.231,5.491
2.0,1685917751.33,158.758,98.801,13.326,9.381
3.0,1685917751.33,225.107,108.674,9.183,9.247
4.0,1685917751.33,221.075,92.643,7.944,7.699
6.0,1685917751.33,245.955,80.417,6.531,5.682
15.0,1685917751.33,48.613,156.965,31.595,20.334
2.0,1685917752.8,77.313,130.904,26.978,18.434
4.0,1685917752.8,241.432,79.613,5.368,5.25
17.0,1685917752.8,157.112,103.103,11.496,13.281
19.0,1685917752.8,179.117,95.376,9.926,7.135
2.0,1685917750.67,177.992,91.25,10.537,7.908
3.0,1685917750.67,203.463,131.089,13.786,13.396
4.0,1685917750.67,205.78,103.475,10.06,9.398
6.0,1685917750.67,239.343,85.657,5.955,6.248
2.0,1685917750.8,174.534,92.67,10.966,8.001
3.0,1685917750.8,209.06,124.896,12.325,12.721
4.0,1685917750.8,209.399,100.726,9.095,8.546
6.0,1685917750.8,241.128,84.612,6.217,6.038
2.0,1685917752.27,116.403,115.398,19.416,13.649
3.0,1685917752.27,241.38,92.389,6.518,6.802
4.0,1685917752.27,235.413,83.524,6.18,5.268
17.0,1685917752.27,177.103,96.822,10.46,7.224
19.0,1685917752.27,193.533,89.019,9.062,6.037
2.0,1685917750.87,172.787,93.292,11.159,8.327
3.0,1685917750.87,211.564,122.721,11.621,11.956
4.0,1685917750.87,210.998,99.676,8.575,8.174
6.0,1685917750.87,241.857,83.783,5.918,6.031
19.0,1685917753.53,150.449,108.192,13.357,8.792
21.0,1685917753.53,183.071,88.312,8.628,8.473
17.0,1685917753.53,123.708,113.131,13.885,9.933
