id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm,speed
2,0.07,1.0,284.514,72.719,12.906,10.106,298657.54968468554,4768858.482271287,
2,0.13,2.0,285.51,71.167,12.621,11.029,298659.1553933152,4768857.505218759,31.32712704331393
2,0.2,3.0,286.587,69.716,12.859,10.522,298660.7363510026,4768856.543226853,26.439380024879384
2,0.27,4.0,288.138,68.645,11.651,9.792,298661.9708305558,4768855.792062323,20.773806118177163
2,0.33,5.0,289.514,67.202,11.598,9.353,298663.66790031444,4768854.759417753,33.14362683313009
2,0.4,6.0,290.418,65.829,11.553,9.77,298665.3351590928,4768853.744912771,27.880942219663055
2,0.47,7.0,291.571,64.881,11.463,8.982,298666.5547331552,4768853.002818036,20.46001575841876
2,0.53,8.0,292.202,64.046,12.62,8.253,298667.6404324298,4768852.342184343,21.182408843814006
2,0.6,9.0,292.819,63.323,13.109,7.392,298668.60175763466,4768851.757230632,16.08650086977454
2,0.67,10.0,293.092,62.888,13.608,6.71,298669.18775781704,4768851.400657249,9.800041646823734
6,0.67,10.0,26.099,127.257,38.175,24.871,298631.97711084405,4768902.219436122,
6,0.73,11.0,18.548,131.846,33.519,26.454,298630.5594941912,4768903.082037163,28.408234331798425
6,0.8,12.0,10.66,136.25,21.494,24.5,298629.2833949652,4768903.858526715,21.703004588352023
10,1.27,19.0,164.848,81.747,19.479,11.934,298655.22400131595,4768883.111694254,
10,1.33,20.0,160.795,83.666,20.203,11.764,298653.66652079724,4768884.0594006125,30.386857538765284
10,1.4,21.0,155.664,85.973,21.214,12.308,298651.8875906271,4768885.141856163,29.758895085052337
10,1.47,22.0,150.425,88.47,21.64,12.107,298650.0737543833,4768886.2455516,30.33217460843699
10,1.53,23.0,144.885,90.838,22.089,13.333,298648.42205550923,4768887.250588586,32.26668388337569
10,1.6,24.0,139.409,93.072,22.964,13.89,298646.9372443637,4768888.154076588,24.893651348274105
10,1.67,25.0,133.478,95.579,23.949,14.457,298645.3543935429,4768889.117220441,26.509143596395432
10,1.73,26.0,127.259,98.459,25.061,14.88,298643.657633464,4768890.149676575,33.107568785147514
10,1.8,27.0,120.721,101.247,25.622,15.546,298642.090961907,4768891.102975559,26.2301431229099
10,1.87,28.0,114.436,104.424,27.27,16.239,298640.4503472037,4768892.101267973,27.44716631778772
10,1.93,29.0,106.996,107.785,28.567,17.274,298638.79007665126,4768893.111520711,32.40584651959883
10,2.0,30.0,99.503,111.032,29.71,17.913,298637.27765733737,4768894.031807921,25.31838083758161
10,2.07,31.0,91.384,114.967,31.096,18.592,298635.5812069382,4768895.064075619,28.371442956478077
10,2.13,32.0,82.809,118.774,32.995,19.241,298634.02785741875,4768896.009268318,30.32417444089995
10,2.2,33.0,73.737,123.161,34.679,20.178,298632.3812185832,4768897.011226337,27.538470312268053
10,2.27,34.0,63.974,127.857,36.351,21.181,298630.7491755586,4768898.004302997,27.292818817397976
10,2.33,35.0,53.553,132.381,38.466,22.535,298629.25135205535,4768898.915708848,29.26222441755239
10,2.4,36.0,42.436,137.885,41.018,23.225,298627.5989987677,4768899.921144036,27.642026565966393
10,2.47,37.0,29.949,143.594,42.925,24.909,298625.9974211374,4768900.895682905,26.789047409441658
10,2.53,38.0,19.751,149.68,39.334,26.254,298624.5131942976,4768901.798815366,29.282152317199603
10,2.6,39.0,12.077,154.91,29.706,25.165,298623.3573381422,4768902.502138595,19.787648178627165
13,1.53,23.0,214.282,54.011,12.732,8.471,298691.4923723023,4768865.389490727,
13,1.6,24.0,212.795,54.587,12.924,8.517,298690.4035061216,4768866.052051441,18.225906656668254
13,1.67,25.0,210.611,55.212,13.211,9.238,298689.2083733216,4768866.779273991,20.19345215683061
13,1.73,26.0,208.37,56.086,13.609,9.145,298687.6271059541,4768867.741454332,30.87834552487408
13,1.8,27.0,206.148,56.784,13.824,9.015,298686.38088781654,4768868.499761636,20.974231034096558
13,1.87,28.0,203.767,57.492,13.939,9.557,298685.1330862263,4768869.25903245,21.03883677973131
13,1.93,29.0,201.714,58.194,14.052,9.806,298683.95158514316,4768869.977960279,23.13487026881919
13,2.0,30.0,199.386,59.179,15.0,10.375,298682.35159096605,4768870.951535638,26.757413615745417
13,2.07,31.0,196.768,59.981,15.091,10.559,298681.06127571705,4768871.736675453,21.752785420325964
13,2.13,32.0,194.219,60.801,15.087,10.836,298679.7769846003,4768872.518149663,25.201410893876265
13,2.2,33.0,191.597,61.614,15.594,10.944,298678.53806436807,4768873.272016288,20.861545527127795
13,2.27,34.0,188.976,62.612,15.81,11.124,298677.07989729726,4768874.159291723,24.406840795436878
13,2.33,35.0,186.153,63.528,16.252,11.366,298675.7692717855,4768874.956790064,25.700194549323303
13,2.4,36.0,183.384,64.32,16.851,11.641,298674.6502849441,4768875.637678802,18.950526353564054
13,2.47,37.0,180.343,65.363,16.591,11.801,298673.24161975755,4768876.494832993,23.631956915707626
13,2.53,38.0,177.504,66.439,16.788,11.754,298671.8567414198,4768877.3375132,27.04163456049117
13,2.6,39.0,174.431,67.657,17.189,12.205,298670.33575042756,4768878.263016163,25.441409279123015
13,2.67,40.0,171.219,68.819,17.539,12.547,298668.9258114675,4768879.1209454285,23.61770349862849
13,2.73,41.0,168.027,69.852,18.134,12.889,298667.7030704991,4768879.864967184,24.00231470147109
13,2.8,42.0,164.615,71.283,18.903,13.21,298666.1046597748,4768880.837579033,26.72956018483412
13,2.87,43.0,161.164,72.471,19.574,13.295,298664.80005839496,4768881.63141177,21.88839968906947
13,2.93,44.0,157.656,73.634,19.987,13.564,298663.55542371067,4768882.388755564,24.400022767322955
13,3.0,45.0,154.044,74.982,20.492,14.413,298662.1778432778,4768883.226995092,23.059815744963664
13,3.07,46.0,149.961,76.586,21.168,15.043,298660.6143386268,4768884.178367055,26.153783822621463
13,3.13,47.0,145.957,78.247,21.601,14.712,298659.0730373718,4768885.116228545,30.070288026251635
13,3.2,48.0,141.638,79.809,22.15,14.973,298657.6586577327,4768885.976859905,23.69922068948588
13,3.27,49.0,137.136,81.365,22.379,15.365,298656.29980411025,4768886.803704416,22.802166022092546
13,3.33,50.0,132.374,83.208,23.435,15.772,298654.7743724385,4768887.731909473,29.771817402914166
13,3.4,51.0,127.41,85.104,24.193,16.184,298653.27083448303,4768888.646792494,25.159896821691962
13,3.47,52.0,122.918,87.057,25.055,16.925,298651.81328677206,4768889.533691056,24.381742915849976
13,3.53,53.0,117.432,89.125,25.797,17.19,298650.3126060425,4768890.446835492,29.30680619155357
13,3.6,54.0,111.96,91.474,26.393,17.753,298648.72466012946,4768891.413079641,26.561442053460116
13,3.67,55.0,106.265,93.63,27.123,17.849,298647.30900671735,4768892.274486075,23.693622666799786
13,3.73,56.0,100.306,96.201,28.593,18.803,298645.740097294,4768893.229146771,30.616353653631506
13,3.8,57.0,93.783,98.849,29.485,19.347,298644.18261677516,4768894.17685313,26.045877891077254
