id,time,x_pix,y_pix,w_pix,h_pix
5.0,1685917762.87,272.917,78.095,8.771,7.468
14.0,1685917762.87,164.862,168.084,23.219,19.23
4.0,1685917761.6,80.881,152.518,24.654,20.417
5.0,1685917761.6,245.394,101.526,11.5,10.042
7.0,1685917761.6,275.065,68.667,8.468,7.114
5.0,1685917763.0,275.591,76.117,9.324,7.247
14.0,1685917763.0,174.874,159.627,20.612,17.435
15.0,1685917763.0,180.408,175.192,26.618,21.161
5.0,1685917762.93,274.568,76.915,9.358,7.127
14.0,1685917762.93,170.455,163.652,22.768,18.322
15.0,1685917762.93,176.216,179.165,27.339,21.551
4.0,1685917761.67,74.456,155.835,26.074,20.661
5.0,1685917761.67,247.222,100.331,11.65,9.926
7.0,1685917761.67,276.001,68.1,8.828,6.617
5.0,1685917762.07,257.052,91.577,9.689,8.889
1.0,1685917760.73,6.712,176.058,17.898,16.72
2.0,1685917760.73,50.979,169.774,23.862,18.389
4.0,1685917760.73,143.521,118.626,18.14,14.84
5.0,1685917760.73,215.09,126.956,14.571,11.874
5.0,1685917762.8,271.869,79.071,9.104,7.464
14.0,1685917762.8,160.409,172.066,23.701,19.732
17.0,1685917763.27,160.863,93.558,11.782,8.605
1.0,1685917760.47,32.648,164.031,25.484,18.336
2.0,1685917760.47,78.91,155.391,21.506,17.018
4.0,1685917760.47,157.435,111.618,17.162,14.699
18.0,1685917763.73,248.546,113.006,14.172,11.517
14.0,1685917763.73,215.331,126.656,17.124,13.665
15.0,1685917763.73,221.34,138.086,18.955,17.706
5.0,1685917762.6,268.198,82.537,9.446,8.506
5.0,1685917762.67,269.23,81.487,8.834,7.818
4.0,1685917761.2,113.537,135.068,20.876,17.03
5.0,1685917761.2,233.131,112.38,13.046,11.372
4.0,1685917761.47,92.526,146.273,23.45,18.596
5.0,1685917761.47,241.502,105.064,12.08,10.275
4.0,1685917761.53,86.847,148.895,24.489,19.755
5.0,1685917761.53,243.24,103.429,11.847,9.907
5.0,1685917762.0,255.709,92.782,9.992,8.964
4.0,1685917761.33,103.227,140.616,22.81,18.052
5.0,1685917761.33,237.324,108.628,12.782,10.208
18.0,1685917763.87,252.106,109.418,13.269,10.989
14.0,1685917763.87,220.831,122.377,15.463,12.492
15.0,1685917763.87,227.309,133.032,18.892,16.642
1.0,1685917760.33,45.608,157.572,23.578,17.495
2.0,1685917760.33,91.331,148.228,20.195,15.828
1.0,1685917760.6,17.159,169.829,28.5,17.572
2.0,1685917760.6,65.905,161.924,24.808,18.304
4.0,1685917760.6,150.508,115.076,17.549,14.704
5.0,1685917760.6,208.715,131.885,15.674,12.437
5.0,1685917763.07,276.472,75.503,9.344,7.263
14.0,1685917763.07,179.706,155.721,20.463,16.715
15.0,1685917763.07,185.146,171.273,25.165,19.997
1.0,1685917760.27,52.024,154.874,23.696,17.517
2.0,1685917760.27,97.283,144.847,18.883,15.148
3.0,1685917760.27,12.069,162.697,23.033,17.741
4.0,1685917760.87,135.316,123.765,18.642,14.562
5.0,1685917760.87,220.53,122.281,14.264,11.761
4.0,1685917761.13,118.114,132.733,20.448,16.709
