id,time,x_pix,y_pix,w_pix,h_pix
1.0,1685917701.8,16.198,125.286,26.577,22.873
2.0,1685917701.8,18.882,90.582,17.601,13.217
3.0,1685917701.8,295.205,119.478,15.986,13.011
5.0,1685917701.8,95.668,87.269,12.947,10.654
6.0,1685917703.33,70.437,103.656,18.737,15.707
,1685917704.2,302.599,55.971,16.984,16.032
,1685917704.2,78.696,97.704,17.078,16.042
,1685917704.2,257.404,72.813,10.683,8.874
,1685917704.2,122.918,60.799,8.455,6.452
5.0,1685917702.8,24.581,136.727,27.453,19.93
6.0,1685917702.8,98.3,84.449,14.075,12.135
5.0,1685917702.47,56.137,115.028,20.575,15.851
6.0,1685917702.47,110.386,76.062,12.217,10.233
10.0,1685917706.6,8.269,135.282,19.93,18.459
6.0,1685917704.0,11.879,144.13,25.321,26.329
,1685917705.13,98.503,77.422,11.551,8.159
,1685917705.13,247.726,62.052,8.355,6.972
,1685917705.13,303.385,56.005,18.054,16.253
1.0,1685917701.4,52.594,103.002,19.708,17.751
2.0,1685917701.4,30.89,84.569,16.377,12.846
3.0,1685917701.4,304.601,131.391,17.392,14.83
6.0,1685917703.53,55.995,113.125,21.142,18.231
,1685917704.73,36.667,126.684,24.887,21.773
,1685917704.73,239.75,55.15,9.536,6.661
,1685917704.73,7.532,85.348,14.967,9.956
,1685917704.73,303.155,56.101,17.576,16.283
,1685917704.73,250.983,66.366,10.766,7.528
,1685917704.33,120.084,62.61,9.87,7.085
,1685917704.33,70.038,103.597,18.676,16.451
,1685917704.33,303.074,55.967,18.02,16.169
6.0,1685917703.8,32.266,129.08,26.201,22.589
,1685917705.87,65.257,98.027,16.253,12.636
,1685917705.87,303.015,55.97,17.196,16.032
,1685917705.87,240.981,55.379,9.674,6.986
,1685917704.93,14.384,141.831,28.65,26.384
,1685917704.93,303.347,56.092,17.982,16.321
,1685917704.93,105.276,72.663,10.792,8.475
,1685917704.93,98.172,50.569,9.153,6.141
,1685917704.93,3.512,87.188,6.994,8.095
6.0,1685917703.47,61.002,110.126,20.655,17.063
,1685917704.07,6.899,148.161,13.761,23.35
,1685917704.07,124.968,58.795,8.925,6.815
,1685917704.07,86.689,92.744,15.968,13.975
,1685917704.07,32.594,75.068,10.902,7.81
,1685917704.07,303.279,55.922,18.493,16.074
,1685917704.07,259.518,74.571,10.717,8.696
,1685917705.0,10.42,147.269,20.728,27.097
,1685917705.0,249.081,63.332,8.462,7.505
,1685917705.0,303.329,56.048,17.986,16.2
,1685917705.0,2.134,87.692,4.224,7.818
,1685917705.0,103.006,74.181,11.804,8.353
,1685917705.0,96.725,51.249,8.545,5.939
,1685917704.8,29.62,131.108,26.17,23.244
,1685917704.8,6.14,86.223,12.204,9.414
,1685917704.8,250.622,65.732,10.033,7.378
,1685917704.8,303.362,56.063,18.042,16.29
,1685917704.8,239.335,54.724,9.649,7.235
,1685917705.73,72.849,93.78,15.447,11.435
,1685917705.73,303.497,55.989,18.26,16.365
,1685917705.73,242.166,56.684,9.52,6.884
10.0,1685917706.47,18.894,126.944,24.638,17.435
1.0,1685917701.33,57.557,100.257,18.732,17.098
2.0,1685917701.33,32.736,83.828,16.241,12.751
3.0,1685917701.33,306.35,133.555,17.748,14.93
,1685917704.53,55.265,113.958,21.061,19.238
,1685917704.53,115.757,65.725,10.241,7.187
,1685917704.53,302.935,56.103,17.822,16.346
,1685917704.53,241.753,56.807,8.294,6.72
5.0,1685917702.93,11.393,147.8,24.493,21.894
6.0,1685917702.93,92.647,88.492,15.173,13.083
,1685917705.33,91.45,81.805,12.772,8.936
,1685917705.33,303.42,56.005,18.186,16.243
10.0,1685917706.27,37.561,115.443,21.04,15.025
,1685917704.47,60.306,110.233,20.475,18.558
,1685917704.47,117.635,64.564,9.809,6.953
,1685917704.47,303.072,56.035,18.063,16.265
,1685917704.47,254.079,68.966,10.578,8.575
,1685917704.67,42.976,122.173,24.274,20.847
,1685917704.67,303.255,56.085,17.953,16.284
,1685917704.67,10.054,84.732,13.627,8.86
,1685917704.67,240.357,55.845,9.624,6.742
,1685917704.67,251.572,66.73,11.161,8.333
,1685917704.67,112.647,68.323,10.31,6.464
6.0,1685917703.73,38.92,124.72,25.212,21.071
,1685917706.93,43.349,77.361,13.832,8.879
,1685917706.93,137.272,56.438,9.15,7.411
,1685917706.93,302.898,55.977,17.049,15.9
,1685917706.93,299.0,108.958,18.749,16.167
5.0,1685917702.27,70.515,104.986,18.03,13.452
6.0,1685917702.27,116.78,71.418,10.719,9.222
,1685917705.8,69.039,95.971,16.043,11.622
,1685917705.8,303.494,55.984,18.247,16.4
,1685917705.8,241.598,56.009,9.953,6.91
,1685917705.4,303.424,55.978,18.145,16.199
,1685917705.4,88.661,83.447,13.255,9.535
6.0,1685917703.67,45.048,120.643,24.062,19.97
,1685917704.13,123.739,59.827,8.701,6.127
,1685917704.13,82.861,95.176,16.434,14.853
,1685917704.13,303.105,55.97,17.914,16.16
,1685917704.13,258.825,73.838,10.687,8.301
1.0,1685917700.8,88.453,81.208,13.608,12.975
2.0,1685917700.8,46.509,76.426,15.541,11.021
1.0,1685917701.67,29.984,116.956,24.173,20.82
2.0,1685917701.67,23.073,88.241,18.003,13.15
3.0,1685917701.67,298.66,123.323,17.137,13.791
5.0,1685917701.67,101.635,83.005,12.953,10.342
5.0,1685917702.13,78.967,99.237,17.62,12.752
6.0,1685917702.13,120.271,68.711,10.926,9.502
2.0,1685917702.0,12.831,93.523,18.558,13.221
5.0,1685917702.0,86.212,93.839,15.912,11.865
6.0,1685917702.0,123.661,66.101,9.857,9.01
,1685917704.87,21.926,136.157,27.699,25.034
,1685917704.87,107.186,71.463,11.631,7.813
,1685917704.87,4.972,86.933,9.863,9.335
,1685917704.87,303.366,56.079,18.033,16.287
,1685917704.87,239.16,54.159,8.9,6.455
,1685917704.87,250.372,64.927,9.991,7.133
,1685917705.2,96.22,78.657,11.786,8.425
,1685917705.2,303.372,56.048,17.919,16.206
,1685917705.2,247.368,61.712,8.017,6.578
1.0,1685917701.53,42.23,109.452,21.367,19.246
2.0,1685917701.53,26.842,86.314,17.575,13.078
