id,time,frame_num,class,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
3077,410.8,2054,2,626.333,458.108,38.321,23.971,305758.75,4771050.31
3335,499.4,2497,2,350.321,853.513,413.666,144.601,305717.28,4771005.23
3348,499.4,2497,2,620.333,577.93,159.721,70.871,305729.22,4771014.48
3145,499.4,2497,2,980.377,474.05,79.111,32.652,305755.22,4771013.67
3241,499.4,2497,2,1216.598,485.261,121.156,45.586,305753.66,4770999.47
3258,499.4,2497,2,1379.758,507.169,131.658,45.824,305749.04,4770992.28
3368,499.4,2497,2,1651.816,529.472,170.007,55.781,305746.78,4770984.29
3400,499.4,2497,2,1873.229,550.506,92.545,53.638,305745.02,4770979.83
3483,499.4,2497,2,38.151,764.808,74.291,65.593,305716.13,4771013.7
3531,499.4,2497,2,558.862,465.496,28.688,22.044,305753.18,4771051.82
3541,499.4,2497,2,761.032,463.672,59.253,30.591,305757.37,4771033.39
3545,499.4,2497,2,688.687,465.628,41.158,26.423,305755.24,4771038.87
3554,499.4,2497,2,532.911,452.555,18.128,14.775,305761.31,4771067.59
3577,499.4,2497,2,623.971,442.602,25.174,14.878,305771.81,4771066.69
3497,499.4,2497,2,1159.718,560.062,127.43,68.428,305737.28,4770998.65
4682,698.0,3490,2,1033.544,472.567,89.367,39.535,305756.49,4771010.65
4699,698.0,3490,2,1172.884,485.477,104.176,41.425,305753.11,4771001.55
4914,698.0,3490,2,1414.257,505.721,175.855,58.692,305749.74,4770991.03
4929,698.0,3490,2,852.015,758.382,293.939,142.892,305722.4,4771000.33
4952,698.0,3490,2,1080.43,512.422,102.257,57.05,305744.57,4771003.72
4960,698.0,3490,2,1748.667,544.499,156.719,55.061,305744.98,4770982.47
4964,698.0,3490,2,828.586,497.816,67.766,38.153,305744.99,4771017.7
4969,698.0,3490,2,711.368,473.265,45.435,30.595,305751.87,4771033.08
4972,698.0,3490,2,741.811,431.446,30.653,13.764,305786.68,4771062.67
4977,698.0,3490,2,360.578,667.453,165.863,95.85,305721.17,4771013.53
4978,698.0,3490,2,792.167,472.043,53.814,27.496,305753.62,4771027.25
4979,698.0,3490,2,641.101,457.809,37.805,23.796,305759.17,4771048.9
4985,698.0,3490,2,601.707,450.455,25.495,19.31,305764.07,4771060.5
4989,698.0,3490,2,694.024,455.292,36.655,18.473,305761.65,4771044.99
1382,230.4,1152,2,699.694,473.468,45.954,27.792,305751.6,4771033.93
1418,230.4,1152,2,669.608,467.833,28.409,22.175,305753.8,4771039.38
1448,230.4,1152,2,645.6,459.823,33.069,23.387,305757.94,4771046.88
1597,230.4,1152,2,1357.453,470.693,73.666,29.31,305760.58,4770993.16
1526,230.4,1152,2,1555.252,524.733,160.298,55.204,305746.84,4770986.88
1599,230.4,1152,2,1466.331,491.142,121.876,40.267,305754.24,4770988.8
1600,230.4,1152,2,1320.348,496.984,146.092,57.853,305751.12,4770994.59
1627,230.4,1152,2,1532.892,486.075,71.159,33.192,305756.43,4770986.05
1655,230.4,1152,2,1846.86,549.663,143.491,66.002,305744.95,4770980.39
1660,230.4,1152,2,1728.342,519.009,180.16,53.424,305749.51,4770981.57
1682,230.4,1152,2,605.781,452.929,19.641,16.176,305762.14,4771057.4
1716,230.4,1152,2,1155.053,745.401,262.994,126.469,305724.86,4770995.92
1717,230.4,1152,2,879.727,446.486,41.3,24.113,305770.47,4771031.03
1634,230.4,1152,2,620.559,456.244,22.705,19.144,305759.92,4771052.53
3483,541.6,2708,2,901.745,487.766,78.917,35.011,305749.05,4771015.63
3689,541.6,2708,2,876.624,462.603,56.218,27.705,305759.48,4771024.16
3692,541.6,2708,2,752.897,463.706,49.796,28.604,305757.23,4771034.09
3733,541.6,2708,2,698.427,468.232,46.13,30.857,305754.05,4771036.59
3767,541.6,2708,2,660.286,464.076,32.004,20.305,305755.65,4771042.49
3748,541.6,2708,2,718.946,458.381,28.608,22.456,305759.92,4771040.29
3803,541.6,2708,2,1351.24,469.748,95.358,31.291,305760.93,4770993.47
3805,541.6,2708,2,306.699,532.502,84.729,38.757,305729.63,4771037.26
3806,541.6,2708,2,654.925,566.547,119.586,64.188,305730.76,4771014.6
3807,541.6,2708,2,1869.028,720.595,235.701,107.004,305730.38,4770985.64
3808,541.6,2708,2,764.895,425.882,22.358,12.338,305795.94,4771066.96
3809,541.6,2708,2,624.505,453.345,35.79,22.098,305762.09,4771054.66
3810,541.6,2708,2,825.742,774.3,201.276,152.081,305721.8,4771000.42
3811,541.6,2708,2,1672.685,504.554,80.099,39.715,305752.37,4770982.3
3335,520.0,2600,2,1869.782,713.615,253.86,102.723,305730.73,4770985.49
3348,520.0,2600,2,619.029,579.47,160.199,72.272,305729.06,4771014.35
3258,520.0,2600,2,132.503,596.82,149.618,56.816,305721.41,4771029.0
3368,520.0,2600,2,739.524,497.704,94.669,38.927,305743.73,4771022.81
3400,520.0,2600,2,1055.146,481.886,95.727,37.285,305753.03,4771007.98
3483,520.0,2600,2,388.944,659.718,230.419,84.366,305721.73,4771013.45
